,,,,,,,,,,,,,,BP Section:7.5,,,,,,,,,,,,,,,,,,,,,,,,
Business Name: ,,,,Client Name: ,,,,,,,,Cashflow - Year 1,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SALES INC GST, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash at the Start, $-   ,Money you can use for the business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSINESS OVERHEADS (Expenses including GST),,,,,,,,,,,,,, Total  ,,,,,,,,,,GST,Minus GST,,,,,,,,,,,,,
Cost of Goods Sold, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,, $-   ,,,,,,,,,,$0.00, $-   ,,,,,,,,,,,,,
Accounting/bookkeeping Fees,,,,,,,,,,,,,, $-   ,,,,,,,,,,$0.00, $-   ,,,,,,,,,,,,,
Advertising,,,,,,,,,,,,,, $-   ,,,,,,,,,,$0.00, $-   ,,,,,,,,,,,,,
Electricity & Gas,,,,,,,,,,,,,, $-   ,,,,,,,,,,$0.00, $-   ,,,,,,,,,,,,,
Insurances ,,,,,,,,,,,,,, $-   ,,,,,,,,,,$0.00, $-   ,,,,,,,,,,,,,
Loan Repayments (No GST),,,,,,,,,,,,,, $-   ,,,,,,,,,,$0.00, $-   ,,,,,,,,,,,,,
Memberships & Subscriptions,,,,,,,,,,,,,, $-   ,,,,,,,,,,$0.00, $-   ,,,,,,,,,,,,,
"Motor Vehicle (Fuel, Ins, R&M)",,,,,,,,,,,,,, $-   ,,,,,,,,,,$0.00, $-   ,,,,,,,,,,,,,
Purchases - Plant & Equipment,,,,,,,,,,,,,, $-   ,,,,,,,,,,$0.00, $-   ,,,,,,,,,,,,,
Rent or Lease Payments,,,,,,,,,,,,,, $-   ,,,,,,,,,,$0.00, $-   ,,,,,,,,,,,,,
Repairs & Maintenance,,,,,,,,,,,,,, $-   ,,,,,,,,,,$0.00, $-   ,,,,,,,,,,,,,
Stationery & Office Supplies,,,,,,,,,,,,,, $-   ,,,,,,,,,,$0.00, $-   ,,,,,,,,,,,,,
Telephone & Internet,,,,,,,,,,,,,, $-   ,,,,,,,,,,$0.00, $-   ,,,,,,,,,,,,,
Postage/shipping,,,,,,,,,,,,,, $-   ,,,,,,,,,,$0.00, $-   ,,,,,,,,,,,,,
Bank Fees (No GST),,,,,,,,,,,,,, $-   ,,,,,,,,,,$0.00, $-   ,,,,,,,,,,,,,
Wages,,,,,,,,,,,,,, $-   ,,,,,,,,,,$0.00, $-   ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenses (Money out), $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,, $-   ,,,,,,,,,Check,,0.00,Ex GST,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,, $-   ,,,,,,,,,,,,,,,
Gross Profit / Loss (Before  Taxes), $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,, $-   ,,,,,,,,, $-   ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,, $-   ,,,,,,,,,,,,,,,
TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A - GST received (Sales), $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,, $-   ,,,,,,,,, $-   ,Exps ex GST incl 20% tax,,Exps ex GST incl 20% tax,,,,,,,,,,,,
1B - GST Paid (Expenses), $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,
20% Tax on Profit (Estimated allowance), $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,, $-   ,,,,,,,,, $-   ,Sales ex GST,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit / Loss (After  Taxes), $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,
